x,flux_0,flux_1,vf_0,vf_1
2.32,0.5043368022327493,0.010430306305894563,0.5347018732935609,0.46529812670643905
2.33,0.5027923671317065,0.010402974897421303,0.5349577465007553,0.4650422534992446
2.34,0.5012537294803284,0.010376218896678351,0.5352125888793622,0.4647874111206378
2.35,0.49972086068624827,0.01034998946900357,0.535466404582249,0.464533595417751
2.36,0.49819373226081876,0.010324242113017372,0.5357191977455529,0.46428080225444707
2.37,0.4966723158266557,0.01029893627678202,0.535970972488748,0.46402902751125197
2.38,0.4951565831243628,0.010274035007948051,0.5362217329147123,0.46377826708528763
2.39,0.49364650601850363,0.010249504634879048,0.5364714831097949,0.46352851689020513
2.4,0.49214205650289655,0.0102253144760125,0.5367202271438818,0.46327977285611815
2.41,0.49062380211524453,0.0101880992049202,0.53700313225798,0.46299686774202
2.42,0.4891113754794689,0.01015246550604473,0.5372848914888944,0.4627151085111056
2.43,0.48760474860427133,0.01011827490038275,0.5375655094779277,0.46243449052207225
2.44,0.48610389342667076,0.010085401182305513,0.5378449908475835,0.4621550091524165
2.45,0.4846087818369422,0.010053729332752037,0.5381233402016421,0.46187665979835785
2.46,0.48311938570114876,0.01002315452862932,0.5384005621252368,0.46159943787476315
2.47,0.48163567688148373,0.009993581239905335,0.5386766611849292,0.4613233388150708
2.48,0.4801576272546221,0.009964922406633726,0.5389516419287842,0.4610483580712158
2.49,0.47868520872826015,0.009937098688835973,0.5392255088864453,0.4607744911135547
2.5,0.4772183932560091,0.009910037782792654,0.5394982665692092,0.46050173343079076
2.51,0.4757571528507939,0.009883673797865963,0.5397699194700998,0.4602300805299002
2.52,0.47430145959688813,0.009857946688495857,0.5400404720639423,0.45995952793605765
2.53,0.47285128566071577,0.009832801736486194,0.5403099288074373,0.45969007119256267
2.54,0.4714066033005264,0.009808189079129427,0.5405782941392338,0.45942170586076625
2.55,0.4699673848750508,0.009784063279112331,0.5408455724800021,0.4591544275199979
2.56,0.4685336028512269,0.0097603829325043,0.5411117682325074,0.4588882317674926
2.57,0.46710522981108493,0.009737110311457067,0.5413768857816816,0.45862311421831836
2.58,0.46568223845786355,0.009714211038543025,0.541640929494696,0.45835907050530394
2.59,0.46426460162143457,0.00969165378993133,0.5419039037210329,0.458096096278967
