x,p1(x)
3.2600000e+00,5.6189275e-01
3.2650000e+00,5.6205137e-01
3.2700000e+00,5.6221012e-01
3.2750000e+00,5.6236900e-01
3.2800000e+00,5.6252801e-01
3.2850000e+00,5.6268715e-01
3.2900000e+00,5.6284641e-01
3.2950000e+00,5.6300581e-01
3.3000000e+00,5.6316533e-01
3.3050000e+00,5.6332499e-01
3.3100000e+00,5.6348477e-01
3.3150000e+00,5.6364468e-01
3.3200000e+00,5.6380472e-01
3.3250000e+00,5.6396489e-01
3.3300000e+00,5.6412518e-01
3.3350000e+00,5.6428560e-01
3.3400000e+00,5.6444615e-01
3.3450000e+00,5.6460683e-01
3.3500000e+00,5.6476763e-01
3.3550000e+00,5.6492857e-01
3.3600000e+00,5.6508962e-01
3.3650000e+00,5.6525081e-01
3.3700000e+00,5.6541212e-01
3.3750000e+00,5.6557355e-01
3.3800000e+00,5.6573511e-01
3.3850000e+00,5.6589680e-01
3.3900000e+00,5.6605862e-01
3.3950000e+00,5.6622055e-01
3.4000000e+00,5.6638262e-01
3.4050000e+00,5.6654481e-01
3.4100000e+00,5.6670712e-01
3.4150000e+00,5.6686956e-01
3.4200000e+00,5.6703212e-01
3.4250000e+00,5.6719481e-01
3.4300000e+00,5.6735762e-01
3.4350000e+00,5.6752055e-01
3.4400000e+00,5.6768361e-01
3.4450000e+00,5.6784679e-01
3.4500000e+00,5.6801010e-01
3.4550000e+00,5.6817352e-01
3.4600000e+00,5.6833708e-01
3.4650000e+00,5.6850075e-01
3.4700000e+00,5.6866455e-01
3.4750000e+00,5.6882846e-01
3.4800000e+00,5.6899250e-01
3.4850000e+00,5.6915667e-01
3.4900000e+00,5.6932095e-01
3.4950000e+00,5.6948536e-01
3.5000000e+00,5.6964989e-01
3.5050000e+00,5.6981454e-01
3.5100000e+00,5.6997931e-01
3.5150000e+00,5.7014420e-01
3.5200000e+00,5.7030921e-01
3.5250000e+00,5.7047434e-01
3.5300000e+00,5.7063959e-01
3.5350000e+00,5.7080497e-01
3.5400000e+00,5.7097046e-01
3.5450000e+00,5.7113607e-01
3.5500000e+00,5.7130181e-01
3.5550000e+00,5.7146766e-01
3.5600000e+00,5.7163363e-01
3.5650000e+00,5.7179972e-01
3.5700000e+00,5.7196593e-01
3.5750000e+00,5.7213226e-01
3.5800000e+00,5.7229871e-01
3.5850000e+00,5.7246527e-01
3.5900000e+00,5.7263196e-01
3.5950000e+00,5.7279876e-01
3.6000000e+00,5.7296568e-01
3.6050000e+00,5.7313272e-01
3.6100000e+00,5.7329988e-01
3.6150000e+00,5.7346715e-01
3.6200000e+00,5.7363454e-01
3.6250000e+00,5.7380205e-01
3.6300000e+00,5.7396967e-01
3.6350000e+00,5.7413741e-01
3.6400000e+00,5.7430527e-01
3.6450000e+00,5.7447325e-01
3.6500000e+00,5.7464134e-01
3.6550000e+00,5.7480955e-01
3.6600000e+00,5.7497787e-01
3.6650000e+00,5.7514631e-01
3.6700000e+00,5.7531486e-01
3.6750000e+00,5.7548353e-01
3.6800000e+00,5.7565232e-01
3.6850000e+00,5.7582122e-01
3.6900000e+00,5.7599024e-01
3.6950000e+00,5.7615937e-01
3.7000000e+00,5.7632861e-01
3.7050000e+00,5.7649797e-01
3.7100000e+00,5.7666744e-01
3.7150000e+00,5.7683703e-01
3.7200000e+00,5.7700673e-01
3.7250000e+00,5.7717655e-01
3.7300000e+00,5.7734648e-01
3.7350000e+00,5.7751652e-01
3.7400000e+00,5.7768668e-01
3.7450000e+00,5.7785695e-01
3.7500000e+00,5.7802733e-01
3.7550000e+00,5.7819783e-01
3.7600000e+00,5.7836843e-01
3.7650000e+00,5.7853916e-01
3.7700000e+00,5.7870999e-01
3.7750000e+00,5.7888093e-01
3.7800000e+00,5.7905199e-01
3.7850000e+00,5.7922316e-01
3.7900000e+00,5.7939444e-01
3.7950000e+00,5.7956583e-01
3.8000000e+00,5.7973734e-01
3.8050000e+00,5.7990895e-01
3.8100000e+00,5.8008068e-01
3.8150000e+00,5.8025252e-01
3.8200000e+00,5.8042447e-01
3.8250000e+00,5.8059653e-01
3.8300000e+00,5.8076870e-01
3.8350000e+00,5.8094098e-01
3.8400000e+00,5.8111337e-01
3.8450000e+00,5.8128587e-01
3.8500000e+00,5.8145848e-01
3.8550000e+00,5.8163120e-01
3.8600000e+00,5.8180403e-01
3.8650000e+00,5.8197696e-01
3.8700000e+00,5.8215001e-01
